"id","loan_amnt","int_rate","grade","sub_grade","emp_length","revol_bal","revol_util","fico","home_ownership","annual_inc","verification_status"
10086,4000,13.11,"B","B4","10+ years",181439,78.4,682,"OWN",280000,"Verified"
10087,8000,7.9,"A","A4","2 years",26066,28,727,"MORTGAGE",160000,"Verified"
10088,7375,13.68,"C","C1","< 1 year",3419,23.4,672,"MORTGAGE",27040,"Verified"
10089,10000,13.99,"C","C1","10+ years",5313,63.2,672,"RENT",50000,"Verified"
10090,12250,10.99,"B","B2","10+ years",12238,87.4,692,"MORTGAGE",70000,"Verified"
10091,10000,11.55,"B","B3","2 years",14544,88.7,692,"RENT",60000,"Not Verified"
10092,9200,12.12,"B","B3","10+ years",7654,60.3,697,"MORTGAGE",55000,"Not Verified"
10093,14400,10.65,"B","B2","6 years",8361,84.5,707,"OWN",39500,"Verified"
10094,6000,14.33,"C","C1","10+ years",25632,63.3,672,"MORTGAGE",87000,"Not Verified"
10095,14000,14.33,"C","C1","2 years",39010,92.9,712,"MORTGAGE",96900,"Not Verified"
10096,23800,17.27,"C","C5","2 years",19872,83.8,672,"RENT",99800,"Source Verified"
10097,9750,13.68,"C","C1",NA,16412,67.8,672,"OWN",27950,"Verified"
10098,17000,8.9,"A","A5","5 years",13054,58.5,737,"RENT",92000,"Not Verified"
10099,9000,13.05,"B","B5","10+ years",13260,68.4,662,"MORTGAGE",150000,"Verified"
10100,9000,17.27,"C","C5","2 years",8463,92,677,"MORTGAGE",80000,"Not Verified"
10101,6075,16.2,"C","C4","9 years",6992,61.3,677,"OWN",22000,"Not Verified"
10102,10000,13.11,"B","B4","1 year",10793,37.3,702,"MORTGAGE",40000,"Not Verified"
10103,28000,7.9,"A","A4","< 1 year",120,0.9,767,"RENT",48000,"Verified"
10104,3500,15.61,"C","C4","3 years",11915,80,692,"MORTGAGE",39900,"Not Verified"
10105,7000,18.49,"D","D2","1 year",9315,63.8,662,"MORTGAGE",135000,"Source Verified"
10106,12000,12.12,"B","B3","3 years",3732,20.4,672,"MORTGAGE",116400,"Not Verified"
10107,6000,11.14,"B","B2",NA,7649,35.6,702,"MORTGAGE",76000,"Verified"
10108,15000,16.29,"C","C5","10+ years",19061,92.5,687,"MORTGAGE",60000,"Verified"
10109,6000,9.71,"B","B1","7 years",4200,70,692,"MORTGAGE",29000,"Verified"
10110,24925,8.9,"A","A5","10+ years",21483,42.9,697,"MORTGAGE",125000,"Not Verified"
10111,10000,11.99,"B","B3","4 years",9291,56.7,707,"RENT",85000,"Not Verified"
10112,12200,19.72,"D","D5","2 years",4211,26.7,702,"MORTGAGE",60000,"Verified"
10113,8800,14.09,"B","B5","10+ years",12996,69.9,692,"MORTGAGE",49234.36,"Not Verified"
10114,30000,15.22,"C","C3","2 years",43651,83.6,702,"RENT",1e+05,"Verified"
10115,7500,6.62,"A","A2","< 1 year",2196,8.2,747,"RENT",40000,"Not Verified"
10116,3000,11.55,"B","B3","9 years",5383,51.3,697,"MORTGAGE",72000,"Not Verified"
10117,12000,10.74,"B","B2","6 years",9955,17.5,702,"RENT",118000,"Not Verified"
10118,15000,18.75,"D","D3","6 years",14207,90.5,662,"RENT",56000,"Not Verified"
10119,20000,12.12,"B","B3","10+ years",13694,60.3,687,"MORTGAGE",2e+05,"Verified"
10120,5000,15.1,"C","C2","10+ years",3024,53.1,682,"MORTGAGE",65000,"Not Verified"
10121,6000,11.14,"B","B2","10+ years",10523,58.1,687,"MORTGAGE",35000,"Not Verified"
10122,12250,12.12,"B","B3","2 years",3704,39,712,"RENT",56400,"Source Verified"
10123,13750,15.31,"C","C2","9 years",0,0,677,"OWN",50467,"Verified"
10124,17000,9.99,"B","B1","3 years",20431,61.9,707,"MORTGAGE",60000,"Source Verified"
10125,8000,12.12,"B","B3","5 years",17136,57.7,672,"RENT",81754,"Not Verified"
10126,9750,11.99,"B","B3","1 year",18092,39.4,687,"RENT",30000,"Source Verified"
10127,1450,21.49,"E","E3","10+ years",8792,82.9,677,"MORTGAGE",52500,"Not Verified"
10128,19725,10.16,"B","B1","7 years",19018,30.8,712,"RENT",125000,"Verified"
10129,10850,6.03,"A","A1","< 1 year",2950,14.5,782,"RENT",47500,"Verified"
10130,24000,7.9,"A","A4","5 years",25573,50.8,697,"MORTGAGE",91000,"Not Verified"
10131,9000,9.67,"B","B1","10+ years",21898,69.1,697,"MORTGAGE",66000,"Source Verified"
10132,1500,18.25,"D","D2","8 years",7277,24.9,667,"RENT",35000,"Not Verified"
10133,20000,19.22,"D","D5","6 years",16461,94.1,672,"RENT",53000,"Not Verified"
10134,14300,13.11,"B","B4","2 years",4214,47.9,717,"RENT",50000,"Not Verified"
10135,16000,10.99,"B","B2","2 years",15222,34.4,697,"RENT",87000,"Source Verified"
10136,5000,12.12,"B","B3","< 1 year",4053,71.1,682,"RENT",30000,"Source Verified"
10137,15000,11.14,"B","B2","4 years",11982,65.8,717,"RENT",75000,"Not Verified"
10138,15000,6.62,"A","A2","10+ years",8435,19.1,727,"MORTGAGE",47000,"Verified"
10139,15250,20.31,"D","D5","10+ years",6610,95.8,667,"MORTGAGE",153000,"Source Verified"
10140,14000,13.11,"B","B4","7 years",17286,60.9,702,"MORTGAGE",95000,"Verified"
10141,4000,10.74,"B","B2","< 1 year",4959,78.7,692,"RENT",38400,"Source Verified"
10142,2400,20.31,"D","D5","10+ years",5915,64.3,672,"RENT",32000,"Not Verified"
10143,15850,11.14,"B","B2","10+ years",4190,79.1,677,"OWN",148000,"Verified"
10144,1200,20.31,"D","D5","10+ years",18726,95.5,682,"MORTGAGE",82000,"Verified"
10145,10325,14.27,"C","C2","10+ years",8196,85.4,687,"MORTGAGE",48000,"Source Verified"
10146,10000,11.55,"B","B3","3 years",32601,95.8,672,"RENT",78000,"Verified"
10147,20000,13.99,"C","C1","10+ years",28785,85,707,"RENT",62000,"Verified"
10148,20000,8.9,"A","A5","3 years",18968,61.2,692,"MORTGAGE",140000,"Verified"
10149,10800,8.9,"A","A5","9 years",5789,33.9,722,"RENT",55000,"Not Verified"
10150,4000,6.03,"A","A1","2 years",17245,33.4,762,"MORTGAGE",1e+05,"Not Verified"
10151,13000,14.09,"B","B5","5 years",11124,57.9,697,"RENT",60000,"Not Verified"
10152,2500,18.55,"D","D4","10+ years",16001,95.2,662,"RENT",65000,"Not Verified"
10153,20000,8.9,"A","A5","10+ years",11506,36.8,722,"MORTGAGE",53000,"Verified"
10154,10500,15.31,"C","C2","10+ years",7486,65.7,672,"RENT",32000,"Verified"
10155,5000,13.11,"B","B4","10+ years",64717,56.5,692,"MORTGAGE",55000,"Verified"
10156,7500,7.9,"A","A4","1 year",658,29.9,727,"OWN",62500,"Not Verified"
10157,4800,6.62,"A","A2","10+ years",4849,30.3,752,"OWN",34000,"Not Verified"
10158,2850,13.11,"B","B4","5 years",20267,91.7,682,"RENT",36000,"Not Verified"
10159,10625,12.99,"B","B4","8 years",9740,35.7,682,"MORTGAGE",35300,"Source Verified"
10160,20000,12.12,"B","B3","2 years",12328,44.2,702,"RENT",70000,"Verified"
10161,12000,18.75,"D","D3","10+ years",13451,92.9,697,"RENT",40000,"Verified"
10162,6500,20.31,"D","D5","7 years",5462,67.4,682,"MORTGAGE",65000,"Not Verified"
10163,18000,14.09,"B","B5","5 years",17930,67.7,682,"OWN",40000,"Verified"
10164,8000,13.11,"B","B4","1 year",3163,35.5,687,"MORTGAGE",51000,"Not Verified"
10165,16000,18.49,"D","D2","4 years",9893,50.2,687,"RENT",63000,"Verified"
10166,11750,17.77,"D","D1","10+ years",12040,71.7,677,"MORTGAGE",44000,"Verified"
10167,4500,15.88,"C","C4","3 years",3523,81.9,667,"MORTGAGE",49000,"Not Verified"
10168,10000,21.98,"E","E4","5 years",3611,82.1,667,"RENT",36000,"Verified"
10169,28000,11.14,"B","B2","10+ years",34820,63.5,717,"MORTGAGE",105000,"Verified"
10170,9950,15.31,"C","C3","6 years",8708,75.1,677,"RENT",72000,"Not Verified"
10171,11000,15.31,"C","C2","10+ years",10603,40.8,687,"OWN",66000,"Verified"
10172,14000,14.33,"C","C1","< 1 year",14150,56.6,682,"RENT",94600,"Verified"
10173,8000,10.99,"B","B2","7 years",5175,45.8,697,"MORTGAGE",50000,"Source Verified"
10174,4000,21.49,"E","E3","4 years",13908,68.5,672,"RENT",57000,"Source Verified"
10175,11200,9.67,"B","B1","6 years",5348,47.7,672,"RENT",55000,"Not Verified"
10176,6000,15.31,"C","C2","9 years",24865,72.9,732,"MORTGAGE",111000,"Source Verified"
10177,7000,12.12,"B","B3","5 years",6258,73,682,"RENT",55000,"Not Verified"
10178,12000,6.03,"A","A1","10+ years",16499,60,762,"RENT",52000,"Source Verified"
10179,14000,10.64,"B","B2","10+ years",7066,21.5,717,"RENT",65000,"Not Verified"
10180,5900,7.62,"A","A3","10+ years",8478,64.7,722,"MORTGAGE",66000,"Source Verified"
10181,21075,12.12,"B","B3","4 years",25820,78.3,667,"MORTGAGE",1e+05,"Verified"
10182,12800,17.27,"C","C5","4 years",19496,72.5,687,"OWN",125000,"Not Verified"
10183,12000,8.9,"A","A5","4 years",22803,59.9,667,"MORTGAGE",95000,"Source Verified"
10184,21200,7.62,"A","A3","10+ years",18583,46.1,742,"MORTGAGE",60000,"Verified"
10185,5550,14.33,"C","C1","6 years",5549,58.4,697,"RENT",32000,"Source Verified"
10186,11000,13.67,"B","B5","2 years",13143,70.7,667,"RENT",77000,"Not Verified"
10187,13000,7.9,"A","A4","10+ years",12287,25.5,737,"RENT",120000,"Not Verified"
10188,6700,12.12,"B","B3","10+ years",24048,82.9,697,"MORTGAGE",120000,"Source Verified"
10189,3000,20.49,"E","E1","10+ years",6126,77.5,677,"RENT",40000,"Not Verified"
10190,6300,7.9,"A","A4","2 years",6770,27,742,"RENT",45000,"Not Verified"
10191,12300,14.33,"C","C1","1 year",4287,40.1,672,"RENT",38105.6,"Verified"
10192,24000,7.62,"A","A3","2 years",14449,48.5,712,"RENT",98000,"Not Verified"
10193,3000,6.03,"A","A1","< 1 year",6136,35.7,762,"RENT",50000,"Not Verified"
10194,28000,7.9,"A","A4","1 year",28773,33.3,747,"MORTGAGE",1e+05,"Verified"
10195,5000,20.2,"D","D5","10+ years",5728,62.9,677,"OWN",25000,"Verified"
10196,8900,21.49,"E","E3","6 years",13666,79,667,"RENT",102000,"Source Verified"
10197,35000,8.9,"A","A5","10+ years",29565,29.1,782,"MORTGAGE",1e+05,"Verified"
10198,12000,7.62,"A","A3","1 year",8734,52,737,"RENT",50000,"Not Verified"
10199,1200,16.2,"C","C4","2 years",3503,39.8,687,"OWN",35000,"Not Verified"
10200,2750,15.8,"C","C3","5 years",5209,36.7,682,"RENT",30000,"Not Verified"
10201,4200,13.49,"C","C1","4 years",6101,78.2,672,"RENT",24000,"Source Verified"
10202,10400,17.77,"D","D1","2 years",8091,56.2,667,"RENT",42000,"Not Verified"
10203,35000,11.14,"B","B2","< 1 year",1778,3.6,787,"MORTGAGE",165000,"Source Verified"
10204,15850,13.11,"B","B4","8 years",8874,99.7,702,"MORTGAGE",73000,"Verified"
10205,10000,17.27,"C","C5","10+ years",6505,72.3,687,"MORTGAGE",97000,"Not Verified"
10206,15000,13.11,"B","B4","6 years",4526,46.2,697,"MORTGAGE",109000,"Not Verified"
10207,10000,18.49,"D","D2","4 years",8318,61.6,682,"OWN",34000,"Source Verified"
10208,19000,12.12,"B","B3","10+ years",57252,53.7,672,"MORTGAGE",77000,"Verified"
10209,6000,7.9,"A","A4","4 years",21788,52.5,722,"MORTGAGE",47480,"Not Verified"
10210,10000,6.03,"A","A1","7 years",6948,19.4,747,"MORTGAGE",80000,"Not Verified"
10211,14750,17.77,"D","D1","10+ years",10134,29,672,"RENT",62500,"Verified"
10212,18000,13.11,"B","B4","1 year",14212,55.5,717,"OWN",40000,"Source Verified"
10213,9000,13.99,"C","C1","10+ years",13296,35.6,687,"MORTGAGE",106000,"Verified"
10214,7925,14.33,"C","C1","7 years",26059,85.2,682,"OWN",24000,"Verified"
10215,8000,7.62,"A","A3","10+ years",5359,16.7,767,"MORTGAGE",69500,"Not Verified"
10216,18650,17.76,"D","D1","2 years",12045,69.6,662,"RENT",95000,"Not Verified"
10217,15000,12.12,"B","B3","10+ years",13125,90.5,707,"MORTGAGE",69000,"Not Verified"
10218,5000,15.61,"C","C3","2 years",1957,8.7,797,"RENT",125000,"Verified"
10219,5000,15.31,"C","C2",NA,3235,85.1,682,"RENT",20000,"Verified"
10220,9750,12.35,"B","B4","10+ years",18255,79.4,692,"MORTGAGE",43000,"Verified"
10221,2900,10.99,"B","B2","3 years",9605,49.5,707,"RENT",45000,"Verified"
10222,7200,10.64,"B","B2","2 years",23615,42.1,707,"RENT",78500,"Not Verified"
10223,16425,11.14,"B","B2","9 years",16897,52.6,702,"MORTGAGE",37000,"Not Verified"
10224,12000,9.99,"B","B1","< 1 year",11915,67.3,717,"RENT",125000,"Not Verified"
10225,12575,12.12,"B","B3","4 years",8330,56.7,712,"MORTGAGE",90000,"Not Verified"
10226,4500,14.3,"C","C1","5 years",9783,44.9,712,"MORTGAGE",50000,"Source Verified"
10227,20125,16.78,"C","C5",NA,27466,90.9,682,"RENT",45060,"Verified"
10228,4450,12.99,"B","B4","< 1 year",10389,69.7,702,"MORTGAGE",45000,"Source Verified"
10229,15000,14.33,"C","C1","2 years",9776,50.1,692,"MORTGAGE",50000,"Verified"
10230,19500,6.62,"A","A2","5 years",44022,91.3,707,"MORTGAGE",150000,"Verified"
10231,24000,17.77,"D","D1","10+ years",25759,81.5,682,"MORTGAGE",62000,"Verified"
10232,18725,17.1,"C","C5","10+ years",20792,96.7,667,"MORTGAGE",53480,"Verified"
10233,20000,15.8,"C","C3","10+ years",7401,47.7,687,"MORTGAGE",88000,"Source Verified"
10234,7400,13.98,"C","C1","10+ years",11711,31.3,697,"OWN",28080,"Not Verified"
10235,12000,16.29,"C","C4","6 years",26077,80.7,672,"MORTGAGE",105000,"Source Verified"
10236,10000,18.75,"D","D3","10+ years",17329,71.9,682,"MORTGAGE",60000,"Verified"
10237,13250,17.76,"D","D1","7 years",10616,74.8,667,"OWN",45000,"Not Verified"
10238,7000,7.9,"A","A4","1 year",1691,18.8,732,"RENT",36240,"Not Verified"
10239,3200,14.3,"C","C1","10+ years",16565,91,712,"OWN",72000,"Not Verified"
10240,27250,7.62,"A","A3","10+ years",19712,92.1,727,"MORTGAGE",188000,"Not Verified"
10241,10625,15.1,"C","C2","10+ years",5271,51.2,677,"RENT",45000,"Source Verified"
10242,12000,7.62,"A","A3","4 years",12507,44,702,"MORTGAGE",40000,"Not Verified"
10243,3000,13.11,"B","B4","7 years",9351,64.9,692,"RENT",67000,"Not Verified"
10244,13700,14.33,"C","C1","10+ years",11928,32.3,677,"MORTGAGE",72000,"Verified"
10245,8725,16.29,"C","C4","6 years",9760,66.8,682,"RENT",26000,"Not Verified"
10246,32000,13.11,"B","B4","10+ years",34046,51.7,697,"MORTGAGE",95000,"Verified"
10247,14100,20.31,"D","D5","1 year",13636,66.5,672,"RENT",40000,"Source Verified"
10248,25975,14.33,"C","C1","3 years",9380,43.8,712,"MORTGAGE",128000,"Verified"
10249,9200,11.14,"B","B2","5 years",41369,69.7,697,"MORTGAGE",65000,"Source Verified"
10250,5600,14.33,"C","C1","10+ years",3996,62.4,677,"MORTGAGE",55000,"Not Verified"
10251,18825,15.61,"C","C3","7 years",4381,17.5,737,"RENT",43000,"Not Verified"
10252,7800,8.9,"A","A5","10+ years",27824,50.8,717,"MORTGAGE",92000,"Not Verified"
10253,16000,12.12,"B","B3","9 years",10700,55.4,697,"MORTGAGE",55000,"Not Verified"
10254,35000,11.14,"B","B2","10+ years",166015,53.3,717,"MORTGAGE",164500,"Verified"
10255,11000,11.14,"B","B2","7 years",10431,58.6,697,"MORTGAGE",70000,"Not Verified"
10256,18000,14.65,"C","C2","10+ years",13909,42.1,697,"MORTGAGE",110000,"Source Verified"
10257,16000,9.71,"B","B1","10+ years",12220,63,672,"MORTGAGE",1e+05,"Not Verified"
10258,11000,8.9,"A","A5","< 1 year",4160,83.2,732,"RENT",45000,"Not Verified"
10259,6000,10.64,"B","B2","2 years",14299,27.6,682,"MORTGAGE",50000,"Not Verified"
10260,15825,7.9,"A","A4",NA,15832,78.8,747,"RENT",44500,"Verified"
10261,11800,11.14,"B","B2","< 1 year",16527,58,687,"RENT",80000,"Not Verified"
10262,8725,12.35,"B","B4","7 years",10633,52.6,687,"RENT",25000,"Not Verified"
10263,16750,17.77,"D","D1","6 years",24575,72.9,682,"RENT",38000,"Verified"
10264,21000,19.72,"D","D5","6 years",13870,77.5,677,"RENT",63000,"Verified"
10265,9000,6.03,"A","A1","10+ years",2830,5.5,832,"OWN",42000,"Source Verified"
10266,15000,14.33,"C","C1","7 years",7554,46.1,712,"MORTGAGE",106000,"Source Verified"
10267,6200,10.99,"B","B2","10+ years",7024,31.1,737,"RENT",40000,"Not Verified"
10268,16825,14.09,"B","B5","6 years",18991,87.5,682,"MORTGAGE",38500,"Verified"
10269,14000,12.99,"B","B4","1 year",9988,46.9,697,"RENT",55000,"Not Verified"
10270,10000,15.31,"C","C3","8 years",3739,26.9,687,"RENT",30600,"Not Verified"
10271,11000,7.62,"A","A3","10+ years",11296,29.1,777,"MORTGAGE",68289,"Not Verified"
10272,1200,19.22,"D","D4","10+ years",44358,82.1,672,"MORTGAGE",135000,"Not Verified"
10273,19000,15.8,"C","C3",NA,13520,51.8,702,"OWN",50000,"Verified"
10274,12000,14.33,"C","C1","8 years",19212,65.1,672,"RENT",55000,"Not Verified"
10275,14400,15.8,"C","C3","2 years",9485,78.4,667,"RENT",78000,"Not Verified"
10276,20125,17.77,"D","D1","3 years",7084,71.6,662,"RENT",46000,"Verified"
10277,10000,21.98,"E","E4","7 years",6101,95.3,662,"RENT",42000,"Verified"
10278,10000,19.52,"D","D4","2 years",6881,28.3,667,"MORTGAGE",36000,"Verified"
10279,14000,6.03,"A","A1","2 years",5385,29.1,757,"MORTGAGE",1e+05,"Not Verified"
10280,20000,13.67,"B","B5","7 years",24191,67.4,672,"MORTGAGE",75000,"Source Verified"
10281,10000,18.55,"D","D2","10+ years",42054,92,692,"MORTGAGE",130000,"Verified"
10282,6000,7.9,"A","A4","2 years",4865,59.3,727,"RENT",52000,"Not Verified"
10283,11500,25.57,"F&G","F5","1 year",2385,15.5,667,"MORTGAGE",70000,"Source Verified"
10284,24000,7.62,"A","A3","2 years",22116,36.9,757,"MORTGAGE",150000,"Verified"
10285,10000,15.1,"C","C2","10+ years",41186,69.1,662,"MORTGAGE",103000,"Verified"
10286,8000,18.49,"D","D2","< 1 year",4015,50.8,672,"OWN",43000,"Verified"
10287,9000,7.62,"A","A3","10+ years",2643,11.2,727,"OWN",41592,"Not Verified"
10288,16000,7.9,"A","A4","< 1 year",16732,93,707,"RENT",125000,"Not Verified"
10289,8400,7.9,"A","A4","4 years",7407,20.4,712,"RENT",50000,"Source Verified"
10290,4500,12.12,"B","B3",NA,3450,53.9,702,"RENT",15612,"Verified"
10291,35000,7.9,"A","A4","3 years",879,4.2,787,"RENT",85918,"Verified"
10292,16500,18.25,"D","D3","2 years",11272,65.6,667,"MORTGAGE",67000,"Not Verified"
10293,6000,6.03,"A","A1","10+ years",5301,25.2,752,"MORTGAGE",45000,"Source Verified"
10294,24600,14.33,"C","C1","< 1 year",19341,78,677,"MORTGAGE",87500,"Source Verified"
10295,10400,11.14,"B","B2","1 year",26105,65.1,702,"RENT",97200,"Not Verified"
10296,8000,14.33,"C","C1","6 years",4797,72.7,672,"RENT",52000,"Verified"
10297,30000,12.12,"B","B3","5 years",16381,78,727,"MORTGAGE",180000,"Verified"
10298,6000,12.12,"B","B3","1 year",5779,67.2,682,"RENT",50000,"Source Verified"
