"id","loan_amnt","int_rate","grade","sub_grade","emp_length","revol_bal","revol_util","fico","home_ownership","annual_inc","verification_status","loan_status","default"
106,20000,10.99,"B","B2","8 years",19565,32.4,737,"MORTGAGE",83500,"Verified","Fully Paid","Paid"
107,14000,17.1,"C","C5","< 1 year",1348,53.9,667,"RENT",56000,"Not Verified","Fully Paid","Paid"
108,8500,14.09,"B","B5","8 years",10157,69.1,667,"RENT",52037.6,"Verified","Fully Paid","Paid"
109,7750,12.12,"B","B3","10+ years",5659,71.6,677,"MORTGAGE",35000,"Verified","Charged Off","Defaulted"
110,27575,11.14,"B","B2","< 1 year",10303,59.9,697,"MORTGAGE",135000,"Verified","Fully Paid","Paid"
111,12000,14.09,"B","B5","7 years",283,35.4,727,"RENT",48000,"Not Verified","Fully Paid","Paid"
112,4950,12.35,"B","B4","3 years",3544,23.8,732,"RENT",32000,"Not Verified","Fully Paid","Paid"
113,9000,9.67,"B","B1","2 years",8856,87.7,672,"OWN",48600,"Source Verified","Fully Paid","Paid"
114,25000,14.09,"B","B5","10+ years",20815,74.9,682,"MORTGAGE",143500,"Verified","Fully Paid","Paid"
115,16800,6.03,"A","A1","10+ years",7167,12.7,792,"OWN",46000,"Not Verified","Charged Off","Defaulted"
116,5000,6.62,"A","A2","10+ years",18365,16.7,782,"MORTGAGE",789000,"Verified","Fully Paid","Paid"
117,3600,16.29,"C","C4","1 year",11393,54.3,672,"RENT",230000,"Verified","Fully Paid","Paid"
118,12000,13.11,"B","B4",NA,8551,70.1,707,"MORTGAGE",48620,"Source Verified","Fully Paid","Paid"
119,18175,7.62,"A","A3","2 years",20274,67.6,732,"MORTGAGE",90500,"Not Verified","Fully Paid","Paid"
120,4800,6.62,"A","A2","9 years",0,0,752,"RENT",29500,"Not Verified","Charged Off","Defaulted"
121,15000,8.9,"A","A5","7 years",7580,31.6,722,"MORTGAGE",70000,"Verified","Fully Paid","Paid"
122,10625,15.88,"C","C4","2 years",5065,81.7,672,"RENT",32000,"Verified","Fully Paid","Paid"
123,5400,14.33,"C","C1","1 year",6288,58.8,692,"OWN",65000,"Not Verified","Fully Paid","Paid"
124,3000,14.65,"C","C2","10+ years",59625,83,672,"MORTGAGE",95138,"Not Verified","Fully Paid","Paid"
125,14000,13.11,"B","B4","< 1 year",40865,63.5,677,"OWN",120000,"Not Verified","Fully Paid","Paid"
126,20000,7.9,"A","A4","10+ years",12460,46,737,"MORTGAGE",192000,"Not Verified","Fully Paid","Paid"
127,13000,7.9,"A","A4",NA,4456,6.5,727,"RENT",85000,"Verified","Fully Paid","Paid"
128,20000,19.05,"D","D4","5 years",24273,84.3,667,"RENT",77000,"Verified","Fully Paid","Paid"
129,8000,7.9,"A","A4","6 years",5175,24.2,797,"MORTGAGE",34000,"Verified","Fully Paid","Paid"
130,6075,19.52,"D","D4","10+ years",4184,66.4,672,"RENT",39000,"Not Verified","Charged Off","Defaulted"
131,3900,14.09,"B","B5","10+ years",13387,72,682,"MORTGAGE",70000,"Verified","Fully Paid","Paid"
132,10000,7.62,"A","A3","2 years",6435,46,717,"MORTGAGE",110000,"Not Verified","Fully Paid","Paid"
133,4775,13.11,"B","B4",NA,14671,76.4,672,"RENT",20000,"Source Verified","Fully Paid","Paid"
134,18825,16.29,"C","C4","10+ years",17913,57.3,682,"MORTGAGE",50000,"Verified","Charged Off","Defaulted"
135,8000,11.14,"B","B2","10+ years",12936,94.4,707,"MORTGAGE",67000,"Verified","Fully Paid","Paid"
136,10000,15.31,"C","C2","10+ years",23802,77.5,687,"MORTGAGE",55000,"Not Verified","Fully Paid","Paid"
137,11000,17.77,"D","D1","6 years",9386,72.2,667,"RENT",35150,"Not Verified","Charged Off","Defaulted"
138,4500,18.55,"D","D2","10+ years",3995,57.9,667,"OWN",60000,"Verified","Fully Paid","Paid"
139,20000,12.12,"B","B3","10+ years",4940,29.2,672,"MORTGAGE",96000,"Verified","Fully Paid","Paid"
140,6000,7.9,"A","A4","10+ years",6071,36.8,717,"OWN",47000,"Not Verified","Fully Paid","Paid"
141,1400,10.99,"B","B2","5 years",4153,53.2,697,"OWN",36000,"Not Verified","Fully Paid","Paid"
142,13500,13.11,"B","B4","10+ years",5453,82.6,677,"MORTGAGE",85000,"Not Verified","Fully Paid","Paid"
143,3200,13.11,"B","B4","5 years",4356,82.2,692,"MORTGAGE",63000,"Not Verified","Fully Paid","Paid"
144,9750,14.09,"B","B5","2 years",7767,56.3,692,"MORTGAGE",53000,"Verified","Fully Paid","Paid"
145,21250,7.9,"A","A4",NA,58327,54.7,737,"MORTGAGE",50000,"Verified","Fully Paid","Paid"
146,6200,9.76,"B","B1","5 years",17852,65.2,712,"MORTGAGE",70000,"Not Verified","Fully Paid","Paid"
147,8000,7.9,"A","A4","2 years",13044,19.5,722,"OWN",39000,"Source Verified","Fully Paid","Paid"
148,15000,14.09,"B","B5","6 years",14609,43.5,712,"RENT",38000,"Not Verified","Fully Paid","Paid"
149,10000,19.05,"D","D4","5 years",6415,91.6,667,"MORTGAGE",42000,"Not Verified","Fully Paid","Paid"
150,24000,12.35,"B","B4","5 years",8919,64.6,692,"MORTGAGE",175000,"Verified","Fully Paid","Paid"
151,13000,9.71,"B","B1","2 years",9762,37.7,717,"RENT",38200,"Not Verified","Fully Paid","Paid"
152,7000,17.27,"D","D1","10+ years",34019,92.4,672,"MORTGAGE",109200,"Source Verified","Fully Paid","Paid"
153,5000,16.29,"C","C4","< 1 year",5593,79.9,677,"RENT",40000,"Verified","Fully Paid","Paid"
154,8000,9.71,"B","B1","< 1 year",8905,27.1,707,"RENT",58000,"Not Verified","Fully Paid","Paid"
155,20000,13.11,"B","B4","5 years",20624,67.4,722,"MORTGAGE",108000,"Not Verified","Fully Paid","Paid"
156,17000,15.8,"C","C3","4 years",22721,63.6,692,"MORTGAGE",48000,"Not Verified","Fully Paid","Paid"
157,7000,6.03,"A","A1","3 years",14353,25.8,757,"MORTGAGE",105000,"Verified","Charged Off","Defaulted"
158,18000,14.09,"B","B5","10+ years",14839,68.9,687,"RENT",48000,"Not Verified","Charged Off","Defaulted"
159,7200,12.12,"B","B3","5 years",2297,21.1,697,"RENT",27600,"Not Verified","Fully Paid","Paid"
160,12000,12.99,"B","B4","10+ years",31917,55.6,717,"MORTGAGE",89000,"Verified","Fully Paid","Paid"
161,10000,12.12,"B","B3",NA,9207,38.2,717,"RENT",39500,"Verified","Charged Off","Defaulted"
162,15000,14.33,"C","C1","3 years",20888,77.7,682,"MORTGAGE",62000,"Verified","Fully Paid","Paid"
163,15000,17.77,"D","D1","5 years",12147,41.2,707,"RENT",120000,"Verified","Fully Paid","Paid"
164,24000,12.12,"B","B3","10+ years",62592,90.3,732,"MORTGAGE",190000,"Source Verified","Fully Paid","Paid"
165,10000,10.16,"B","B1",NA,19821,46.4,687,"MORTGAGE",109000,"Source Verified","Fully Paid","Paid"
166,4750,22.2,"E","E4","2 years",4416,33.2,677,"RENT",41000,"Not Verified","Fully Paid","Paid"
167,4875,17.27,"C","C5","9 years",5354,87.8,677,"RENT",50000,"Source Verified","Fully Paid","Paid"
168,9500,12.12,"B","B3","7 years",22068,83,712,"MORTGAGE",43000,"Verified","Fully Paid","Paid"
169,6650,13.11,"B","B4","10+ years",11707,76,687,"MORTGAGE",25000,"Source Verified","Fully Paid","Paid"
170,12000,11.99,"B","B3","1 year",5130,57.6,672,"RENT",60000,"Not Verified","Fully Paid","Paid"
171,8800,6.62,"A","A2","6 years",8115,25.4,772,"RENT",40000,"Source Verified","Fully Paid","Paid"
172,10000,10.16,"B","B1","10+ years",9159,29.8,707,"MORTGAGE",36000,"Verified","Fully Paid","Paid"
173,14675,17.27,"C","C5","3 years",5533,66.7,677,"MORTGAGE",46500,"Not Verified","Fully Paid","Paid"
174,16825,14.09,"B","B5","1 year",15866,47.1,717,"RENT",69450,"Verified","Charged Off","Defaulted"
175,10000,13.11,"B","B4","< 1 year",10852,32.3,707,"RENT",29500,"Not Verified","Fully Paid","Paid"
176,15000,6.03,"A","A1","10+ years",15778,21.2,802,"MORTGAGE",90000,"Not Verified","Fully Paid","Paid"
177,12000,9.67,"B","B1","10+ years",11549,59.8,717,"MORTGAGE",95000,"Verified","Fully Paid","Paid"
178,9450,15.31,"C","C2","4 years",11060,70.9,682,"MORTGAGE",28000,"Not Verified","Fully Paid","Paid"
179,9600,10.99,"B","B2","9 years",9217,78.1,662,"MORTGAGE",42000,"Verified","Fully Paid","Paid"
180,13000,11.99,"B","B3","< 1 year",53176,55.2,692,"MORTGAGE",70000,"Verified","Fully Paid","Paid"
181,33000,14.33,"C","C1","4 years",35317,63,682,"MORTGAGE",92000,"Verified","Charged Off","Defaulted"
182,10000,6.03,"A","A1","10+ years",7757,11.2,782,"MORTGAGE",130000,"Not Verified","Fully Paid","Paid"
183,11500,17.77,"D","D1","2 years",1167,27.8,667,"MORTGAGE",34000,"Not Verified","Charged Off","Defaulted"
184,12000,6.03,"A","A1","2 years",12253,25.1,772,"OWN",32000,"Not Verified","Fully Paid","Paid"
185,8000,7.9,"A","A4","< 1 year",10634,67.3,727,"RENT",45000,"Verified","Charged Off","Defaulted"
186,1500,14.33,"C","C1",NA,5956,52.7,677,"RENT",22000,"Not Verified","Fully Paid","Paid"
187,7200,8.9,"A","A5","< 1 year",6044,58.7,712,"RENT",37500,"Source Verified","Fully Paid","Paid"
188,13150,11.14,"B","B2","10+ years",7524,71.7,692,"MORTGAGE",78000,"Verified","Fully Paid","Paid"
189,30000,12.12,"B","B3","< 1 year",10343,31.9,732,"RENT",106000,"Source Verified","Fully Paid","Paid"
190,35000,17.77,"D","D1","10+ years",45417,78.5,662,"RENT",80000,"Verified","Fully Paid","Paid"
191,10000,7.62,"A","A3","10+ years",11633,59.7,692,"MORTGAGE",116000,"Verified","Fully Paid","Paid"
192,8000,11.14,"B","B2","10+ years",5338,79.7,707,"RENT",40684,"Not Verified","Fully Paid","Paid"
193,14000,18.75,"D","D3","1 year",6408,56.2,662,"MORTGAGE",50000,"Not Verified","Fully Paid","Paid"
194,5600,17.1,"C","C5","9 years",7163,106.9,697,"MORTGAGE",110000,"Verified","Fully Paid","Paid"
195,17500,13.49,"C","C1","9 years",30603,81.6,687,"RENT",80000,"Verified","Fully Paid","Paid"
196,11000,17.27,"D","D1","10+ years",10070,75.1,667,"MORTGAGE",60000,"Not Verified","Fully Paid","Paid"
197,12000,6.62,"A","A2","< 1 year",13931,25.4,752,"MORTGAGE",60000,"Source Verified","Fully Paid","Paid"
198,8925,17.27,"C","C5","8 years",2449,40.1,667,"RENT",45000,"Not Verified","Fully Paid","Paid"
199,7200,12.12,"B","B3","3 years",4843,38.1,677,"RENT",85000,"Not Verified","Fully Paid","Paid"
200,9850,15.8,"C","C3","5 years",7761,92.4,672,"OWN",35000,"Not Verified","Fully Paid","Paid"
201,3600,17.77,"D","D1","4 years",4400,51.8,687,"RENT",55000,"Not Verified","Charged Off","Defaulted"
202,18000,9.76,"B","B1","10+ years",13425,66.6,722,"MORTGAGE",57000,"Source Verified","Fully Paid","Paid"
203,12000,15.1,"C","C2","7 years",14832,75.3,682,"MORTGAGE",66000,"Source Verified","Fully Paid","Paid"
204,4000,6.62,"A","A2","2 years",1132,8,757,"MORTGAGE",120000,"Not Verified","Fully Paid","Paid"
205,14750,13.11,"B","B4","9 years",11156,69.7,682,"MORTGAGE",1e+05,"Source Verified","Fully Paid","Paid"
206,10625,13.11,"B","B4","7 years",8668,26.7,687,"RENT",32000,"Not Verified","Fully Paid","Paid"
207,6500,9.67,"B","B1","7 years",5789,44.9,667,"MORTGAGE",80000,"Verified","Fully Paid","Paid"
208,3550,13.67,"B","B5","1 year",12197,62.2,682,"MORTGAGE",85000,"Not Verified","Fully Paid","Paid"
209,14825,7.9,"A","A4","2 years",1863,8.6,742,"RENT",30000,"Verified","Fully Paid","Paid"
210,18825,24.99,"F&G","F4","6 years",22855,93.3,677,"RENT",61900,"Not Verified","Fully Paid","Paid"
211,21100,7.9,"A","A4","2 years",18091,56,722,"RENT",60000,"Source Verified","Fully Paid","Paid"
212,11100,15.61,"C","C4",NA,20699,96.3,682,"OWN",32000,"Verified","Fully Paid","Paid"
213,4000,12.12,"B","B3","10+ years",16822,57.4,677,"MORTGAGE",75000,"Not Verified","Fully Paid","Paid"
214,20000,10.64,"B","B2","1 year",11095,18.4,767,"OWN",58500,"Verified","Fully Paid","Paid"
215,1500,24.08,"F&G","F2","4 years",1362,27.2,677,"RENT",40000,"Source Verified","Fully Paid","Paid"
216,22950,7.9,"A","A4",NA,26265,56.5,742,"MORTGAGE",51192,"Verified","Fully Paid","Paid"
217,3600,6.62,"A","A2","10+ years",3396,5.9,777,"MORTGAGE",66000,"Not Verified","Fully Paid","Paid"
218,15000,10.64,"B","B2","8 years",19470,54.7,707,"MORTGAGE",73000,"Not Verified","Fully Paid","Paid"
219,6000,8.9,"A","A5","10+ years",5380,42,707,"MORTGAGE",75000,"Source Verified","Fully Paid","Paid"
220,22350,6.03,"A","A1","10+ years",34635,33.1,777,"MORTGAGE",175000,"Not Verified","Fully Paid","Paid"
221,14000,14.33,"C","C1","1 year",17285,89.6,697,"RENT",1e+05,"Verified","Fully Paid","Paid"
222,11325,15.8,"C","C3","2 years",12976,61.2,687,"RENT",32421,"Not Verified","Fully Paid","Paid"
223,25000,9.76,"B","B1","4 years",18849,45.6,727,"RENT",70000,"Verified","Fully Paid","Paid"
224,10000,15.31,"C","C2","7 years",12894,39.2,682,"MORTGAGE",250000,"Verified","Fully Paid","Paid"
225,9600,7.62,"A","A3",NA,11866,53,727,"OWN",38000,"Verified","Fully Paid","Paid"
226,7800,10.64,"B","B2","7 years",4507,32.9,667,"RENT",36358.4,"Not Verified","Charged Off","Defaulted"
227,12000,6.03,"A","A1","4 years",106,0.8,787,"MORTGAGE",59181.13,"Source Verified","Fully Paid","Paid"
228,10000,14.09,"B","B5","8 years",9971,83.1,697,"MORTGAGE",75756,"Source Verified","Fully Paid","Paid"
229,28000,17.56,"D","D1","5 years",18887,92.6,697,"RENT",120000,"Source Verified","Fully Paid","Paid"
230,6000,9.76,"B","B1",NA,2914,33.1,707,"MORTGAGE",52000,"Source Verified","Charged Off","Defaulted"
231,10000,12.12,"B","B3","10+ years",11066,42.1,712,"MORTGAGE",39760,"Not Verified","Fully Paid","Paid"
232,6000,19.05,"D","D4","< 1 year",3124,82.2,672,"RENT",38000,"Not Verified","Fully Paid","Paid"
233,7200,15.61,"C","C3","10+ years",6832,73.5,677,"RENT",36000,"Source Verified","Fully Paid","Paid"
234,8000,11.99,"B","B3","10+ years",6966,25.5,717,"OWN",87000,"Verified","Fully Paid","Paid"
235,12000,13.11,"B","B4","8 years",14266,40.9,692,"RENT",64000,"Not Verified","Fully Paid","Paid"
236,8400,7.62,"A","A3","2 years",6482,24,732,"OWN",35000,"Verified","Fully Paid","Paid"
237,15000,10.16,"B","B1","5 years",11744,40.8,712,"RENT",98000,"Verified","Fully Paid","Paid"
238,1000,17.1,"C","C5","10+ years",3399,66.6,662,"RENT",51000,"Source Verified","Fully Paid","Paid"
239,1500,19.72,"D","D5","10+ years",29891,66.7,667,"MORTGAGE",125000,"Not Verified","Fully Paid","Paid"
240,14000,12.35,"B","B4","10+ years",10824,68.5,677,"MORTGAGE",45000,"Verified","Fully Paid","Paid"
241,15000,6.03,"A","A1","10+ years",5152,12.7,802,"MORTGAGE",87000,"Source Verified","Fully Paid","Paid"
242,6075,15.1,"C","C2","4 years",6659,75.7,662,"RENT",32000,"Not Verified","Fully Paid","Paid"
243,14400,6.62,"A","A2","10+ years",1017,2.5,802,"RENT",63000,"Not Verified","Fully Paid","Paid"
244,11000,8.9,"A","A5",NA,3312,33.5,687,"MORTGAGE",42000,"Source Verified","Charged Off","Defaulted"
